nombre_avis,asin,prix,image_url,note,page,url,titre
153,B0CLB4XLCF,Prix non disponible,https://m.media-amazon.com/images/I/61+eYEXgAyL._AC_UL320_.jpg,4.0 out of 5 stars,1,https://www.amazon.co.uk/Lenovo-Handheld-Console-Detachable-Controllers/dp/B0CLB4XLCF/ref=sr_1_1?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-1,Lenovo Legion Go Handheld Gaming Console | 8.8 inch 2K Display | Detachable Controllers | AMD Ryzen Z1 Extreme | 16GB RAM | 512GB SSD | Windows 11 Home | 3 Months Xbox Games Pass
515,B091FSJGTP,Prix non disponible,https://m.media-amazon.com/images/I/51P712+WUJL._AC_UL320_.jpg,4.0 out of 5 stars,1,https://www.amazon.co.uk/Lenovo-ThinkPad-T470-Ultrabook-Professional/dp/B091FSJGTP/ref=sr_1_2?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-2,Lenovo ThinkPad T470 Ultrabook - 14in HD (1366x768) Core i5-6200U 8GB 256GB SSD HDMI USB-C WebCam WiFi Windows 10 Professional 64-bit PC Laptop (Renewed)
624,B07NZ679B8,Prix non disponible,https://m.media-amazon.com/images/I/51NQH-PPhKL._AC_UL320_.jpg,4.4 out of 5 stars,1,https://www.amazon.co.uk/Apple-MacBook-Air-13-Renewed/dp/B07NZ679B8/ref=sr_1_3?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-3,"Apple MacBook Air 13"" (2017) - Core i5 1.8GHz, 8GB RAM, 128GB SSD (Renewed)"
2 capacities,B0BQRTQ1XK,Prix non disponible,https://m.media-amazon.com/images/I/616wR1TJ49L._AC_UL320_.jpg,4.3 out of 5 stars,1,https://www.amazon.co.uk/Samsung-Galaxy-Processor-Storage-Graphite/dp/B0BQRTQ1XK/ref=sr_1_4?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-4,"Samsung Galaxy Book3 360 Wi-Fi Laptop, 13.3 Inch, 13th gen Intel Core i5 Processor, 8GB RAM, 256GB Storage, Graphite - Official"
511,B0DNK1WFV6,Prix non disponible,https://m.media-amazon.com/images/I/71OqbJCfdcL._AC_UL320_.jpg,4.3 out of 5 stars,1,https://www.amazon.co.uk/Lenovo-IdeaPad-Chromebook-Laptop-Celeron/dp/B0DNK1WFV6/ref=sr_1_5?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-5,Lenovo IdeaPad Chromebook | 11.6 Inch HD Laptop | Intel Celeron N4500 | 4GB RAM | 64GB eMMC | Chromebook OS | Maca Blue
142,B09YHHV9K4,Prix non disponible,https://m.media-amazon.com/images/I/51oWj0419EL._AC_UL320_.jpg,4.2 out of 5 stars,1,https://www.amazon.co.uk/Lenovo-ThinkPad-i5-8250U-Windows-Professional/dp/B09YHHV9K4/ref=sr_1_6?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-6,"Lenovo ThinkPad X280 i5-8250U Laptop 8Gb RAM, 256Gb SSD, 1920 x 1080p Full HD, 12.5 Inches Windows 11 Professional (Renewed)"
"1,121",B0C8BHWY6S,Prix non disponible,https://m.media-amazon.com/images/I/71qSEjIyRJL._AC_UL320_.jpg,4.4 out of 5 stars,1,https://www.amazon.co.uk/HP-Laptop-15-fc0003sa-Processor-Chalkboard/dp/B0C8BHWY6S/ref=sr_1_7?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-7,"HP 15.6"" Laptop , AMD Ryzen 3-7320U Processor , 4 GB RAM , 128 GB SSD , AMD Radeon Graphics , FHD Display , Up to 10hrs battery , Win 11 , Dual Speakers , Chalkboard Gray , 15-fc0003sa"
120,B098ZNDWJ8,£225.00,https://m.media-amazon.com/images/I/61hUE4LhLOL._AC_UL320_.jpg,4.1 out of 5 stars,1,https://www.amazon.co.uk/Apple-MacBook-13-inch-Storage-Keyboard/dp/B098ZNDWJ8/ref=sr_1_8?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-8,"Mid 2017 Apple MacBook Air with 1.8GHz Intel Core i5 (13 inch, 8GB RAM, 256GB SSD) (QWERTY UK) Silver (Renewed)"
126,B0CJ2D4GWY,Prix non disponible,https://m.media-amazon.com/images/I/71i6AGYrIGL._AC_UL320_.jpg,4.2 out of 5 stars,1,https://www.amazon.co.uk/HP-Laptop-15s-fq5021sa-i5-1235U-Processor/dp/B0CJ2D4GWY/ref=sr_1_9?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-9,"HP 15.6"" Laptop | Intel Core i5-1235U Processor | 8 GB RAM | 256 GB SSD | Intel Iris Xe Graphics | FHD Display | Up to 7hrs battery | Win 11 | Dual Speakers | Natural Silver | 15s-fq5021sa"
306,B08DRC16QM,£144.00,https://m.media-amazon.com/images/I/51qt-BtnT9L._AC_UL320_.jpg,4.0 out of 5 stars,1,https://www.amazon.co.uk/Lenovo-ThinkPad-T460-Ultrabook-Professional/dp/B08DRC16QM/ref=sr_1_10?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-10,"Lenovo 14"" ThinkPad T460 Ultrabook - HD (1366x768) Core i5-6300U 8GB 256GB SSD HDMI WebCam WiFi Bluetooth USB 3.0 Windows 10 Professional 64-bit PC Laptop (Renewed)"
