asin,Manufacturer,Processor Type,Hard Drive Size,Hard Disk Description,RAM Size,url
B0CLB4XLCF,Lenovo,Aures,512 GB,SSD,16 GB,https://www.amazon.co.uk/Lenovo-Handheld-Console-Detachable-Controllers/dp/B0CLB4XLCF/ref=sr_1_1?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-1
B091FSJGTP,Lenovo,Core i,256 GB,SSD,8 GB,https://www.amazon.co.uk/Lenovo-ThinkPad-T470-Ultrabook-Professional/dp/B091FSJGTP/ref=sr_1_2?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-2
B07NZ679B8,Apple,Core i,128 GB,SSD,8 GB,https://www.amazon.co.uk/Apple-MacBook-Air-13-Renewed/dp/B07NZ679B8/ref=sr_1_3?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-3
B0BQRTQ1XK,Samsung,Core i,256 GB,SSD,16 GB,https://www.amazon.co.uk/Samsung-Galaxy-Processor-Storage-Graphite/dp/B0BQRTQ1XK/ref=sr_1_4?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-4
B09YHHV9K4,Lenovo,Core i,256 GB,SSD,8 GB,https://www.amazon.co.uk/Lenovo-ThinkPad-i5-8250U-Windows-Professional/dp/B09YHHV9K4/ref=sr_1_6?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-6
B0C8BHWY6S,Hp,Ryzen,128 GB,SSD,4 GB,https://www.amazon.co.uk/HP-Laptop-15-fc0003sa-Processor-Chalkboard/dp/B0C8BHWY6S/ref=sr_1_7?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-7
B098ZNDWJ8,Apple,Core i,256 GB,SSD,8 GB,https://www.amazon.co.uk/Apple-MacBook-13-inch-Storage-Keyboard/dp/B098ZNDWJ8/ref=sr_1_8?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-8
B0CJ2D4GWY,Hp,Core i,256 GB,SSD,8 GB,https://www.amazon.co.uk/HP-Laptop-15s-fq5021sa-i5-1235U-Processor/dp/B0CJ2D4GWY/ref=sr_1_9?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-9
B08DRC16QM,Lenovo,Core i,256 GB,SSD,8 GB,https://www.amazon.co.uk/Lenovo-ThinkPad-T460-Ultrabook-Professional/dp/B08DRC16QM/ref=sr_1_10?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-10
B07GKHCM2S,Apple,Core i,256 GB,SSD,16 GB,https://www.amazon.co.uk/Apple-15-4-inch-MacBook-Retina-display/dp/B07GKHCM2S/ref=sr_1_11?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-11
B08BWQF2B9,Hp,Core i,256 GB,SSD,8 GB,https://www.amazon.co.uk/HP-ELITEBOOK-Touchscreen-WINDOWS-Renewed/dp/B08BWQF2B9/ref=sr_1_12?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-12
