asin,nombre_avis,prix,page,note,url,titre
B098ZNDWJ8,120,£225.00,1,4.1,https://www.amazon.co.uk/Apple-MacBook-13-inch-Storage-Keyboard/dp/B098ZNDWJ8/ref=sr_1_8?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-8,"Mid 2017 Apple MacBook Air with 1.8GHz Intel Core i5 (13 inch, 8GB RAM, 256GB SSD) (QWERTY UK) Silver (Renewed)"
B08DRC16QM,306,£144.00,1,4.0,https://www.amazon.co.uk/Lenovo-ThinkPad-T460-Ultrabook-Professional/dp/B08DRC16QM/ref=sr_1_10?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-10,"Lenovo 14"" ThinkPad T460 Ultrabook - HD (1366x768) Core i5-6300U 8GB 256GB SSD HDMI WebCam WiFi Bluetooth USB 3.0 Windows 10 Professional 64-bit PC Laptop (Renewed)"
B07GKHCM2S,5,£599.10,1,4.3,https://www.amazon.co.uk/Apple-15-4-inch-MacBook-Retina-display/dp/B07GKHCM2S/ref=sr_1_11?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-11,"Apple 15.4-inch MacBook Pro with Retina display - MJLQ2B/A - Intel Core i7 2.2GHz Quad-core ,16GB RAM, 256 GB SSD, Intel Iris Pro Graphics (Renewed)"
B08BWQF2B9,221,£264.14,1,3.7,https://www.amazon.co.uk/HP-ELITEBOOK-Touchscreen-WINDOWS-Renewed/dp/B08BWQF2B9/ref=sr_1_12?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-12,HP ELITEBOOK x360 1030 G2 13.3in Touchscreen LAPTOP INTEL CORE i5 7th GEN 2.5GHZ WEBCAM 8GB RAM 256GB SSD WINDOWS 10 PRO 64BIT (Renewed)
B07GCRHS5V,"1,534",£149.00,1,4.0,https://www.amazon.co.uk/Dell-Latitude-i5-6300U-Windows-Renewed/dp/B07GCRHS5V/ref=sr_1_14?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-14,"Dell Latitude E7470 14in Laptop, Core i5-6300U 2.4GHz, 8GB Ram, 256GB SSD, Windows 10 Pro 64bit (Renewed)"
B08R2WTNQ6,314,£750.00,1,4.3,https://www.amazon.co.uk/Apple-MacBook-Chip-13-inch-512GB/dp/B08R2WTNQ6/ref=sr_1_15?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-15,"2020 Apple MacBook Air with Apple M1 Chip (13-inch, 8GB RAM, 512GB SSD) (QWERTY English) Space Grey (Renewed)"
B082P7XWMN,189,£129.99,1,3.9,https://www.amazon.co.uk/Lenovo-ThinkPad-X260-12-5-Ultrabook/dp/B082P7XWMN/ref=sr_1_17?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-17,"Lenovo ThinkPad X260 12.5-inch Ultrabook - Core i5-6300U 2.4GHz, 8GB RAM, 256GB SSD, HDMI, WiFi, WebCam, Windows 10 Professional 64-bit (Renewed)"
B0D6YLBBZL,7,"£2,028.35",1,4.2,https://www.amazon.co.uk/Lenovo-ThinkPad-T14s-Gen-6-2024/dp/B0D6YLBBZL/ref=sr_1_18?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-18,"Lenovo ThinkPad T14s Gen 6-2024 - Premium Laptop - Wi-Fi 7-14"" WUXGA IPS Display - 32GB Memory - 1TB SSD Storage - Snapdragon® X Elite - Black"
B0CKN9M1S8,3 capacities,£285.93,1,3.9,https://www.amazon.co.uk/FUNYET-Computer-Notebook-Processors-Supports/dp/B0CKN9M1S8/ref=sr_1_23?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-23,"FUNYET 14 Inch Laptop Computer, Notebook, 8GB RAM 256GB SSD, Intel Celeron N5095 Processors, FHD 1920 x 1080, Supports 180 Angle Opening, Windows 11 Pro"
B09HYQWQ52,12,"£4,999.00",2,3.5,https://www.amazon.co.uk/Dell-9710-i7-11800H-Fingerprint-Thunderbolt/dp/B09HYQWQ52/ref=sr_1_26?dib=eyJ2IjoiMSJ9.r6VYoo8q_1lcE6B_MNPq-xPavXS9eJP54ciEiohsSodagaSInsIulEeeTrRaDuhaVQqUplbRav2ui1cERG69YtFODAEao4hDbY1DCHV4b7pvCpXXzBVChhizm9pRhf5udoUxmaqMaGE1XLzmdy5WnOag_EZHQ3szvCX3ijeAzwMXFJI-H2kQ2-WwqQ82ps5yY2HQ1kIhK79_v93iUjKIK3w-3uOgsQ_Odf7EsbcVYPxHh2H1W7eJoWKp2fua1HnUz3diQZ2jMo4e-OnyUGjBEpwcfc8ijSWVWRcEEVhsALE.TDsAafAJdVnUMy8LRmjYfKSMtuFuTRfXDnrSSjx69jo&dib_tag=se&qid=1746427300&s=computers&sr=1-26,"2021 Newest Dell XPS 17 Laptop 9710, 17"" UHD+ Touch Display, Intel i7-11800H, GeForce RTX 3050, 32GB RAM, 1TB SSD, IR Camera, Backlit Keyboard, Fingerprint Reader, Wi-Fi 6, Thunderbolt, Win 10 Pro"
